,,,,,,,Generator ,,,,Generator,,,,Mains Power Cabinet,,,,,Additional Power cabinet,,,,,Batteries,,,,Aircon 1,,,Aircon 2,,,SOLAR,,,,Environnement Statut,,,,SHELTER,,,,,,,,,,,
Site ID IHS,ID Operator,Name site,Topology,Indoor/Outdoor,SBC,# nber of Gen,Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Engine brand,Alternator brand,Capacity (KVA),Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (KW),Rectifier Module  type,Module Size (KW),Rectifier Number,Brand,Capacity (V/AH),Battery type,Battery Number,Brand,Capacity (V/W),Statut (OK/NOK),Brand,Capacity (V/W),Statut (OK/NOK),#Nber of pannel,Brand,Capacity,Working (OK/NOK),Leakage  OK/NOK,Abandonned equipment on site YES/NO,Site cleaning OK/NOK,Light Statut OK/NOK,Shelter statut,Comments if we have issues on site,Timeline to closed those issues,"Overall site statut 
SBC Feedback",Final Site statut SS  OK/NOK,DATE,,j,j,j,j,j
IHS_EDA_031,LIT_006,Ferme-Suisse,Grid-Gen,Indoor,GRATO,1,MIKANO ,,,20,,,,,,ZTE 36 KW,ZTE,,7,,,,,,,VISION 48V/125AH,VISION 48V/125AH,4,,,,,,,,,,,,,,,,;PSC3 FAULTY;,,,,01/26/2026 12:50:00,,,,,,
IHS_BNB_032,LIT_203,Bonamatoumbe,Grid-Gen,Indoor,GRATO,1,TRION ,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,8,,,,,,,,,,,,,,,,"AC FAULTY, SHELTER OPEN",,,,01/30/2026 23:08:00,,,,,,
IHS_BNB_021,LIT_260,Ndobo-Rail,Grid-Gen,Outdoor,GRATO,1,GB POWER,,,30,,,,,,IPT 24 KW,DELTA,,5,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 07:00:00,,,,,,
IHS_BNB_006,LIT_243,Bberi-Centre,Grid-Gen,Outdoor,GRATO,1,GMG,,,33,,,,,,HUAWEI 24KW,HUAWEI,,6,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 17:00:00,,,,,,
IHS_DLA_443,LIT_435,Bonassama IHS,Grid-Gen,Outdoor,GRATO,1,TRION ,,,20,,,,,,ZTE 36 KW,ZTE,,6,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,5,,,,,,,,,,,,,,,,,,,,02/05/2026 09:40:00,,,,,,
IHS_BNB_004,LIT_291,Grand-Hangar,Grid-Gen,Outdoor,GRATO,1,IPT TRION,,,30,,,,,,IPT 12 KW,DELTA,,3,,,,,,,NO NAME,NO NAME,12,,,,,,,,,,,,,,,,,,,,01/26/2026 21:46:00,,,,,,
IHS_DLA_402,LIT_151,Base-elf-new,Grid-Gen,Outdoor,GRATO,1,COLOR CERAMICA,,,20,,,,,,HUAWEI 24 KW,HUAWEI,,8,,,,,,,SACRED SUN 12V/175AH,SACRED SUN 12V/175AH,16,,,,,,,,,,,,,,,,,,,,02/07/2026 15:50:00,,,,,,
IHS_EDA_014,LIT_229,Edea-Entree,Solar-Grid-Gen,Outdoor,GRATO,1,JUBALIS BRO,,,20,,,,,,DYNAMIQUE POWER ,DYNAMIQUE POWER ,,6,,,,,,,48V/150AH,48V/150AH,4,,,,,,,,,,,,,,,,"CHARGEUR STATISQUE, BATTERY GE,  FAULTY;RCP FAULTY;",,,,01/30/2026 14:00:00,,,,,,
IHS_EDA_042,SUO_029,Ngambe,Grid-Gen-Lithium,Indoor,GRATO,1,TRION,,,20,,,,,,IPT 12KW,DELTA,,3,,,,,,,MONBAT 12V-176AH,MONBAT 12V-176AH,16,,,,,,,,,,,,,,,,,,,,01/30/2026 10:00:00,,,,,,
IHS_DLA_257,LIT_303,Kotto-Antenne,Grid-Gen,Outdoor,GRATO,1,GB POWER,,,30,,,,,,HUAWEI 24KW,HUAWEI,,8,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/28/2026 12:15:00,,,,,,
IHS_DLA_298,LIT_012,Sikoum,Solar-Gen-Lithium,Indoor,GRATO,1,IPT TRION,,,22,,,,,,HUAWEI 24KW,HUAWEI,,6,,,,,,,Lithium 100AH,Lithium 100AH,3,,,,,,,,,,,,,,,,,,,,01/26/2026 16:00:00,,,,,,
IHS_EDA_020,CTR_059,Ndokok,Grid-Gen,Indoor,GRATO,1,TRION,,,20,,,,,,IPT - 12 KW,DELTA,,2,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 17:45:00,,,,,,
IHS_KRI_016,SUD_004,Pama,Grid-Gen,Indoor,GRATO,1,TRION,,,20,,,,,,IPT 12 KW,DELTA,,3,,,,,,,SACRED SUN 12V-175AH,SACRED SUN 12V-175AH,8,,,,,,,,,,,,,,,,TUYAU D'ECHAPPEMENT COUPE,,,,02/04/2026 16:00:00,,,,,,
IHS_DLA_164,LIT_083,ZI-Bassa,Grid-Gen,Indoor,GRATO,1,MAHINDRA,,,30,,,,,,IPT 24 KW,DELTA,,5,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/27/2026 11:00:00,,,,,,
IHS_EDA_005,LIT_078,Edea-Ville,Grid-Gen,Indoor,GRATO,1,Tecno Gen,,,20,,,,,,ZTE 36 KW,ZTE,,6,,,,,,,VISION 48V/150AH,VISION 48V/150AH,4,,,,,,,,,,,,,,,,CHARGEUR STATIQUE FAULTY,,,,02/19/2026 08:00:00,,,,,,
IHS_EDA_017,LIT_230,Edea-Ndokok,Grid-Gen,Outdoor,GRATO,1,SACCAL,,,15,,,,,,IPT - 12 KW,DELTA,,3,,,,,,,RITAR 12V-170AH,RITAR 12V-170AH,4,,,,,,,,,,,,,,,,,,,,01/26/2026 17:00:00,,,,,,
IHS_EDA_037,LIT_308,Ndokoma,Grid-Gen-Lithium,Outdoor,GRATO,1,COLOR CERAMICA,,,20,,,,,,HUAWEI 24KW,HUAWEI,,6,,,,,,,LITHUIM 12V-170AH,LITHUIM 12V-170AH,3,,,,,,,,,,,,,,,,,,,,02/09/2026 16:00:00,,,,,,
IHS_DLA_293,LIT_306,Missole-Entree,Solar-Gen-Lithium,Outdoor,GRATO,1,COLOR CERAMICA,,,20,,,,,,Huawei - 24 KW,HUAWEI,,6,,,,,,,HAUWEI 48V/1000AH,HAUWEI 48V/1000AH,2,,,,,,,,,,,,,,,,FUITE D'HUILE AU NIVEAU DU JOINT DU CARTER/POMPE A INJECTION FAULTY,,,,01/26/2026 18:00:00,,,,,,
IHS_DLA_493,LIT_093,Ndogpassi Nodal,Off Air,Off Air ,GRATO,1,Staunch Machinery,,,15,,,,,,IPT - 12 KW,DELTA,,3,,,,,,,MONBAT 12V-170AH,MONBAT 12V-170AH,16,,,,,,,,,,,,,,,,;POOR BACKUP;,,,,01/29/2026 07:00:00,,,,,,
IHS_EDA_013,LIT_321,Edea-Lom,Grid-Gen,Outdoor,GRATO,1,Earth Technologies,,,22,,,,,,IPT - 12 KW,DELTA,,3,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,3,,,,,,,,,,,,,,,,,,,,01/28/2026 11:19:00,,,,,,
IHS_EDA_012,LIT_322,Edea-Ekite,Grid-Gen,Outdoor,GRATO,1,HABBIB,,,12.5,,,,,,ZTE 36 KW,ZTE,,6,,,,,,,LITHIUM 48V/150AH,LITHIUM 48V/150AH,4,,,,,,,,,,,,,,,,CHARGEUR STATISQUE ET BATTERY GE FAULTY;PARAFOUDRE FAULTY;,,,,02/02/2026 12:00:00,,,,,,
IHS_DLA_273,LIT_358,Bonangang,Grid-Gen,Outdoor,GRATO,1,SACCAL,,,33,,,,,,IPT 24 KW,DELTA,,7,,,,,,,RITAR 12V/180AH,RITAR 12V/180AH,16,,,,,,,,,,,,,,,,,,,,01/26/2026 15:30:00,,,,,,
IHS_BNB_029,LIT_361,Grand-Hangar-II,Grid-Gen,Outdoor,GRATO,1,GB POWER,,,30,,,,,,IPT 12 KW,DELTA,,3,,,,,,,NO NAME,NO NAME,16,,,,,,,,,,,,,,,,,,,,01/28/2026 08:00:00,,,,,,
IHS_DLA_296,LIT_227,Missole,Hybrid-Gen,Outdoor,GRATO,1,TECNO GEN,,,20,,,,,,HUAWEI -12-KW,HUAWEI,,5,,,,,,,HUAWEI 48V/100AH,HUAWEI 48V/100AH,2,,,,,,,,,,,,,,,,,,,,01/26/2026 21:00:00,,,,,,
IHS_EDA_004,LIT_313,Edea-Bisseke,Grid-Gen,Outdoor,GRATO,1,MIKANO,,,20,,,,,,IPT - 24 KW,DELTA,,5,,,,,,,AGIsson 12V-170 AH,AGIsson 12V-170 AH,24,,,,,,,,,,,,,,,,AFFICHEUR FLOUE DE LA CARTE;PARAFOUDRE FAULTY;,,,,01/28/2026 09:00:00,,,,,,
IHS_EDA_067,LIT_512,Apouh,Grid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT - 12 KW,DELTA,,2,,,,,,,POWER CYCLE,POWER CYCLE,16,,,,,,,,,,,,,,,,PSC3 N'affiche pas la valeur du load;PSC3 FAULTY;,,,,02/02/2026 15:30:00,,,,,,
IHS_EDA_069,LIT_515,Sodibanga,Hybrid-Gen,Outdoor,GRATO,1,TRION,,,20,,,,,,IPT - 12 KW,DELTA,,3,,,,,,,HUAWEI 48V/150AH,HUAWEI 48V/150AH,4,,,,,,,,,,,,,,,,,,,,01/27/2026 11:13:00,,,,,,
